ActorCountryCode,MonthYear,EventRootCode,EventCount,AvgGoldScore,AvgTone
ERI,199001,12,1,-4.0,6.85735240190686
ERI,199001,17,4,-5.0,3.50877192982456
ERI,199001,19,12,-10.0,5.2569777368521846
ERI,199002,01,11,-0.10909090909090911,3.4587821433627615
ERI,199002,03,4,4.0,4.4051927233866905
ERI,199002,04,23,3.9347826086956523,4.2906139199668489
ERI,199002,05,3,3.4,2.4179620034542331
ERI,199002,06,1,6.0,4.27184466019417
ERI,199002,07,7,7.1714285714285717,3.3385470434610354
ERI,199002,08,2,7.0,4.80271024312475
ERI,199002,11,3,-2.0,3.303276042927457
ERI,199002,12,4,-4.0,4.9225051114672249
ERI,199002,13,2,-7.0,3.57850070721358
ERI,199002,15,2,-7.2,6.39810426540284
ERI,199002,18,3,-9.0,2.8380917742619864
ERI,199002,19,25,-9.98,3.268887816334745
ERI,199003,01,3,0.13333333333333333,4.8339816936216842
ERI,199003,02,3,3.1333333333333333,5.2020509255235936
ERI,199003,03,4,4.0,8.02652076446673
ERI,199003,04,18,3.8499999999999996,5.3612320342051962
ERI,199003,05,1,3.4,6.94063926940639
ERI,199003,07,5,7.4,6.02506222788381
ERI,199003,13,1,-7.0,8.86075949367089
ERI,199003,17,3,-5.0,2.0798105915622149
ERI,199003,18,5,-9.0,5.9683182995661088
ERI,199003,19,22,-9.9090909090909083,4.9208762518398936
ERI,199004,01,3,0.0,3.5293864589199671
ERI,199004,03,1,4.0,3.11688311688312
ERI,199004,04,5,6.16,5.513028945205602
ERI,199004,07,1,7.0,7.29613733905579
ERI,199004,09,2,-2.0,4.8108593672023154
ERI,199004,10,1,-5.0,6.84684684684685
ERI,199004,11,6,-2.0,3.0361099592448784
ERI,199004,12,2,-5.0,2.77297193387159
ERI,199004,15,1,-7.2,3.28515111695138
ERI,199004,16,1,-4.0,6.84684684684685
ERI,199004,17,4,-5.0,4.9212598425196852
ERI,199004,19,17,-9.9411764705882355,3.7449434727037865
ERI,199005,01,10,-0.16,3.8042870368450297
ERI,199005,02,1,3.0,5.04774897680764
ERI,199005,03,3,5.0,5.92286567778158
ERI,199005,04,7,2.8,4.9224364458319076
ERI,199005,05,2,3.4,5.15850609018311
ERI,199005,06,3,7.4000000000000012,5.5758638103962568
ERI,199005,07,1,7.4,5.53846153846154
ERI,199005,08,3,5.666666666666667,6.1199712426722463
ERI,199005,09,1,-2.0,6.18336886993603
ERI,199005,10,8,-5.0,5.16642295023396
ERI,199005,11,8,-2.0,2.7465450467612422
ERI,199005,12,2,-4.0,3.020138006969165
ERI,199005,14,1,-7.5,5.65068493150685
ERI,199005,17,7,-5.0,3.5792195289344071
ERI,199005,18,6,-9.0,3.37512838266959
ERI,199005,19,22,-10.0,3.9160176824231741
ERI,199006,01,4,-0.2,4.1379979653030627
ERI,199006,02,5,3.0,4.686810227525446
ERI,199006,04,4,4.45,7.6965811965812
ERI,199006,05,2,3.4,6.52173913043478
ERI,199006,07,1,7.0,9.46291560102302
ERI,199006,08,2,7.0,7.73638968481375
ERI,199006,11,5,-2.0,5.9233827579289073
ERI,199006,12,2,-4.0,2.640845070422535
ERI,199006,17,2,-5.0,5.4922963681983195
ERI,199006,19,22,-9.9772727272727266,4.1841198026181425
ERI,199007,01,4,-0.1,4.5631147197910877
ERI,199007,02,1,3.4,6.37119113573407
ERI,199007,03,3,7.0,4.04255319148936
ERI,199007,04,6,1.75,6.4649046101657417
ERI,199007,07,2,7.2,5.336930879439735
ERI,199007,08,3,5.0,3.6422037208346167
ERI,199007,12,4,-4.0,3.4420289855072452
ERI,199007,13,2,-7.0,6.37119113573407
ERI,199007,17,1,-5.0,7.32758620689655
ERI,199007,19,3,-10.0,2.5886246954496204
ERI,199008,04,4,4.675,6.1455144808099842
ERI,199008,05,1,3.4,6.56814449917898
ERI,199008,07,1,7.4,4.3026706231454
ERI,199008,10,1,-5.0,8.04733727810651
ERI,199008,11,1,-2.0,5.83941605839416
ERI,199008,12,2,-4.0,9.03679653679654
ERI,199008,13,1,-4.4,3.42741935483871
ERI,199008,17,1,-5.0,9.03679653679654
ERI,199008,19,10,-10.0,3.5241418701055749
ERI,199009,01,1,0.0,5.86648685097775
