ActorGeo_CountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
BE,01,54656,0.042813231855433488,1.6436467028160988
BE,02,31551,3.0069981934249643,2.0547543590067066
BE,03,45353,4.1701960178577382,2.4664969711611819
BE,04,128043,2.8379161687306338,2.2660173884587711
BE,05,35638,4.5774847074579554,2.9353038716563651
BE,06,8052,6.2449826131456811,2.4610715603976492
BE,07,15209,7.3120915249745408,2.6478914879030877
BE,08,12316,6.3927411497239364,2.01786141493441
BE,09,7353,-2.0,1.1686745595330339
BE,10,4874,-4.981530884465422,1.8009767971336008
BE,11,21428,-2.0,0.75960130384770375
BE,12,11170,-4.2046553267681288,1.6333225134060636
BE,13,6686,-5.147771463257234,0.15639499998269973
BE,14,2695,-6.5679035250463818,1.3937525065792089
BE,15,1869,-7.19999999928564,0.1105085919198061
BE,16,5410,-5.6281515711645076,1.2939762357363864
BE,17,12233,-5.19946047576228,0.17346136387915628
BE,18,2859,-9.3835257082896124,-1.0432460215760826
BE,19,15489,-9.9543547033378523,-0.34944068561508068
BE,20,105,-9.9857142857142858,1.1968392531921821
BK,01,10426,-0.013581431027499674,3.2652406318953546
BK,02,4390,2.9794533029558443,3.5534413243861147
BK,03,4977,4.2257183041993187,4.3383731378272534
BK,04,15598,2.8498781895038325,3.8297038547259841
BK,05,5337,4.3787333708790488,4.3954563309217827
BK,06,1003,6.3084745762711885,3.4299841982798349
BK,07,2058,7.3899902820587142,3.7381316557358213
BK,08,2824,6.3130311614730878,3.3481054777189629
BK,09,1406,-2.0,2.7098192834310808
BK,10,937,-4.9893276414087513,3.3786637955530177
BK,11,4502,-2.0,2.4879421509554946
BK,12,2416,-4.2086092715231791,2.47750414091161
BK,13,1050,-5.4007619047619055,3.6769914261394283
BK,14,578,-6.5588235294117645,2.8206266997122142
BK,15,385,-7.2000000000000037,3.5584581323535494
BK,16,904,-5.43141592920354,3.0086756741318097
BK,17,6936,-5.120732410611307,1.415978931563326
BK,18,1010,-9.23069306930693,1.2592024187932198
BK,19,4081,-9.9562607204116631,1.7131329155502886
BK,20,786,-9.9987277353689574,1.4860612111701577
BY,01,4227,0.057866098868006491,-0.23325229529882643
BY,02,3049,2.8575598557216697,0.0056973134671527677
BY,03,3125,4.4150079998779317,2.158362223212352
BY,04,11402,2.7250920889628931,2.4076729961927907
BY,05,3541,4.7565094615065826,2.30451118991819
BY,06,696,6.2433908045977082,1.982543630880762
BY,07,2125,7.6109176473729736,1.3249002351471768
BY,08,1721,7.386403253922138,-0.017122961704531973
BY,09,400,-2.0,-0.62493027822898517
BY,10,647,-5.0,-1.0611648962786329
BY,11,2128,-2.0,-1.5244317233229223
BY,12,835,-4.1389221556886229,-1.1295897353308255
BY,13,664,-5.2524096388414687,-2.4059651850638826
BY,14,301,-6.6196013289036548,-1.8889273558089772
BY,15,450,-7.1999999970330171,0.76533259291593925
BY,16,684,-5.9461988304093483,-2.948675474271381
BY,17,876,-5.4328767123287642,-1.6405426396566789
BY,18,409,-9.3569682151589237,-1.1797229850458382
BY,19,2404,-9.9515391014975041,-1.186585631731581
BY,20,47,-9.98936170212766,2.0223313061856039
CA,01,155516,0.0097295455129156362,1.7869166445922002
CA,02,80275,3.0028601681924028,2.0637076880317227
