ActorGeo_CountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
AC,01,8,0.025000000000000005,1.8944595159328725
AC,02,1,3.0,5.40098199672668
AC,03,20,4.0,5.9531090967893245
AC,04,47,2.6276595744680855,3.8969923906986157
AC,05,19,6.9473684210526319,3.64220830400352
AC,06,1,6.4,2.56410256410256
AC,07,1,7.0,-2.49716231555051
AC,08,5,6.2,1.7476080482414382
AC,11,6,-2.0,4.0990567529040263
AC,12,4,-4.25,1.4308458839104428
AC,16,1,-4.0,4.10958904109589
AC,17,1,-5.0,7.95454545454545
AC,18,2,-10.0,1.93236714975845
AC,19,1,-10.0,3.43434343434343
AJ,01,675,0.15229629629629632,2.4400833841705563
AJ,02,407,3.1100737100737104,2.9134284130459513
AJ,03,924,4.1386363636363628,2.4583262597733668
AJ,04,2610,2.8650574712460997,2.4540872015382482
AJ,05,851,5.7032902467685078,3.7668109621695685
AJ,06,228,6.3543859649122805,2.0884846333354581
AJ,07,102,7.3823529411764675,1.1459245350285763
AJ,08,157,6.7006369426751595,2.9050801471395715
AJ,09,47,-2.0,1.6566937254855221
AJ,10,58,-5.0,2.0719155607806181
AJ,11,235,-2.0,1.489002121571227
AJ,12,171,-4.16374269005848,2.8193347843234515
AJ,13,52,-4.857692309526298,2.5423353369639639
AJ,14,30,-6.5666666666666664,2.8373815335210839
AJ,15,9,-7.1999999999999993,1.4914728085185953
AJ,16,83,-5.3325301204819278,1.7571770977057497
AJ,17,110,-5.1145454545454534,1.8925363185992468
AJ,18,21,-9.4523809523809526,0.81340805035426045
AJ,19,158,-9.9208860759493671,0.997734638396732
AM,01,640,-0.0082812499906867766,2.1820543158276466
AM,02,296,3.0422297297297307,2.6011122856423587
AM,03,574,4.2209059233449482,2.7056775037230469
AM,04,1906,2.91348373555937,2.5472263988636943
AM,05,813,5.29667896678967,3.0181344056295996
AM,06,151,6.4145695364238415,1.8309966813819425
AM,07,125,7.6031999999999993,2.7251305549950287
AM,08,154,6.48051948051948,2.2998802069557946
AM,09,58,-2.0,1.6573009184042462
AM,10,47,-5.0,3.0052256714362215
AM,11,278,-2.0,1.6430140329479703
AM,12,152,-4.0986842105263159,2.859752343185133
AM,13,84,-4.9428571428571413,1.6587201630678692
AM,14,34,-6.5588235294117645,2.7344456361514622
AM,15,36,-7.1999999999999993,-1.2611309747706743
AM,16,79,-5.7848101265822782,1.0804215148761591
AM,17,134,-5.0776119402985076,1.9407634945501573
AM,18,63,-9.5317460317460316,1.4680650154251191
AM,19,348,-9.9683908045977017,1.8958648518550236
AM,20,7,-10.0,2.2192425735506212
BH,01,26,0.23076923076923078,4.3852611251703388
BH,02,10,3.2,4.792501014512
BH,03,62,4.096774193548387,4.8969666836436279
BH,04,163,2.6398773006134979,3.351828756051018
BH,05,24,5.2416666666666671,5.3295367683058759
BH,06,5,6.2799999999999994,3.2759752496970984
BH,07,10,7.24,4.1576769045002289
BH,08,11,5.9090909090909092,2.9630605077321848
BH,09,7,-2.0,3.4227778061070611
BH,10,4,-5.0,6.1914964560143471
BH,11,15,-2.0,4.8936687349241312
BH,12,5,-4.2,5.558631557402296
BH,13,1,-4.4,5.27143981117231
BH,14,1,-6.5,2.95566502463054
BH,15,6,-7.2,4.0938389480366917
BH,16,7,-4.0,5.7153184015309932
BH,17,4,-6.05,1.77550853950419
BH,18,2,-10.0,-7.2664359861592
BH,19,4,-10.0,2.0319054613858949
BK,01,1628,-0.0010442260442260448,4.8556258141952426
BK,02,972,3.0437242798353914,5.1220139298856324
BK,03,1669,4.2185739964050306,5.1317353279832751
BK,04,5295,2.899055712936732,4.9782695269002133
BK,05,970,4.3943298969072186,5.8176815112663283
BK,06,176,6.422727272727272,4.8851197944151243
BK,07,330,7.7630303030303018,5.3478762225669527
BK,08,675,7.1555555555555559,4.902644561479474
BK,09,189,-2.0,4.4601838536603138
BK,10,243,-4.9176954732510287,4.8107857667854015
BK,11,814,-2.0,4.61542285149856
BK,12,449,-4.2405345211581293,4.5070416807404463
BK,13,465,-5.6507526881720436,4.6281184079320328
BK,14,120,-6.525,4.41421267253517
BK,15,138,-7.1999999999999984,4.7228511236932222
BK,16,247,-5.6939271255060735,4.7453774393477683
BK,17,887,-5.1682074408117229,4.2083120435865951
BK,18,130,-9.1730769230769234,4.521066017379832
BK,19,992,-9.972782258064516,3.9786054923114396
BK,20,38,-10.0,4.0653066850914259
BO,01,1022,0.0035225048923679062,1.625874789037582
BO,02,525,3.0499047619047626,1.8207470155989185
BO,03,1026,4.227582846003898,2.23495423114676
BO,04,2943,2.9981311586654154,1.8927057411274955
BO,05,985,5.075532995214318,2.794581489189047
BO,06,360,6.3822222222222216,2.111645749152764
BO,07,149,7.3906040268456392,1.4393068900550436
BO,08,178,6.7191011235955056,1.1641994321425462
BO,09,137,-2.0,0.35442735865597952
BO,10,82,-5.0,1.8325771435676417
BO,11,398,-2.0,1.963724860293274
BO,12,209,-4.1387559808612444,1.8995469143340815
BO,13,110,-4.78,0.942409794819538
BO,14,39,-6.5,0.72075012895974344
BO,15,94,-7.2000000000000028,-1.9249638085636276
BO,16,156,-6.0730769230769237,1.393723269511826
BO,17,171,-5.0725146198830418,1.0005210520380989
BO,18,34,-9.367647058823529,-0.72973125574751307
BO,19,207,-9.9323671497584538,-0.15499123944563029
BO,20,3,-10.0,4.921738353672243
BX,01,236,-0.0059322033898305078,2.1631464832003982
BX,02,163,3.0233128834355822,2.1190275675629486
BX,03,439,4.1107061503416871,3.8970477640181636
BX,04,1362,2.7672540381791482,3.15859193275415
BX,05,243,5.1481481481481461,3.2264001860430405
BX,06,168,6.8916666666666666,0.996724548184343
BX,07,80,7.5087499999999991,4.1221713419653
BX,08,45,7.6444444444444448,1.5200225451037865
BX,09,24,-2.0,2.7427863836567217
BX,10,38,-5.0,3.2256373426607423
BX,11,114,-2.0,1.4525557281545358
BX,12,53,-4.30188679245283,2.8359834590065374
BX,13,46,-5.021739130434784,0.43560068076838432
BX,14,12,-6.5,3.3675663846981685
BX,15,70,-7.1999999999999993,-0.36365389688989291
BX,16,11,-5.3636363636363633,0.50956163630316553
BX,17,43,-5.1441860465116278,0.72062988366618808
BX,18,9,-9.4444444444444446,-3.1989200091119434
BX,19,89,-9.9438202247191,0.45130529770844569
CB,01,635,0.054015748031496058,5.2438061192712349
CB,02,399,2.9987468671679203,5.4435567830433111
CB,03,671,4.1962742175856924,5.2048215752173785
CB,04,3009,2.7372881355932228,5.3968149344586251
CB,05,579,4.2374784110535408,7.0947737562703823
CB,06,114,6.33157894736842,4.4047684520736956
CB,07,139,7.6294964028776961,5.4149924568010066
CB,08,263,6.8555133079847907,4.8158755496612136
CB,09,99,-2.0,4.7362377474871069
CB,10,65,-4.8461538461538458,5.6200939675875548
CB,11,279,-2.0,4.5284995374280594
CB,12,135,-4.2296296296296294,4.7458534231617913
CB,13,51,-5.0196078431372557,4.8981420506714768
CB,14,27,-6.5740740740740744,4.9780922648315391
CB,15,49,-7.1999999999999975,4.3241790918998513
CB,16,54,-5.0740740740740744,5.2494186299032615
CB,17,107,-5.5102803738317752,2.4964381219215954
CB,18,61,-9.1475409836065573,3.9900706439742182
CB,19,583,-9.89794168096055,3.170512300682359
CB,20,3,-10.0,1.97541054683912
CY,01,637,-0.045054945054945068,4.266721827273356
CY,02,379,2.7348284960422165,4.0784553278214295
CY,03,585,4.1189743589743593,4.0519561590664779
CY,04,2112,3.2594223484848497,4.0503281121387751
CY,05,502,4.4384462151394422,5.1802310257546393
CY,06,98,6.3367346938775508,3.1986541933182893
CY,07,123,7.5447154471544708,2.9813305078272325
CY,08,140,6.6714285714285717,4.488431507884334
CY,09,54,-2.0,3.0034559391064795
CY,10,122,-4.918032786885246,4.9650761560279273
CY,11,429,-2.0,3.5693345972621078
CY,12,186,-4.209677419354839,3.822918729983241
CY,13,94,-5.214893617021275,3.3284549094635389
CY,14,31,-6.532258064516129,3.3579395672717487
CY,15,40,-7.1999999999999984,2.5965088438770363
