ActorGeo_CountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
BE,01,54253,0.073555379426324646,1.5936185448043034
BE,02,29153,3.0555483140957866,1.8142290913932038
BE,03,56814,4.1298693983575072,2.6040030288574152
BE,04,185897,2.8179244419798564,2.4047293910055014
BE,05,40264,4.970924399073402,2.9827026419691958
BE,06,9662,6.2745808322837791,2.3615752208851419
BE,07,13310,7.2862058606280282,2.5008379942238692
BE,08,11169,6.4756021129913153,2.05002128571383
BE,09,5767,-2.0,1.024230362974863
BE,10,5355,-4.9757190885319389,1.7106821530515144
BE,11,20845,-2.0,0.63120023365946654
BE,12,10085,-4.236985622211205,1.6743386680956711
BE,13,6591,-5.069094219882035,0.12671386324106573
BE,14,2702,-6.5658771280532937,1.4710706951799024
BE,15,1959,-7.1999999993184582,0.2384347735438748
BE,16,5563,-5.5656300557253253,1.2661821734306553
BE,17,13858,-5.1767498916904549,0.19208704936656257
BE,18,3178,-9.4162995594713657,-0.88703913412688251
BE,19,17343,-9.9620019604451358,-0.6412267783582547
BE,20,179,-9.9804469273743024,0.11265748706097115
BK,01,10409,0.011566913248150646,3.8071955016377141
BK,02,5088,2.9160966981108656,4.1495909432144069
BK,03,7043,4.2525628283401984,4.775865483462252
BK,04,24418,2.9687443688984185,4.2926702312342009
BK,05,6345,4.6719464145446965,4.81258665469541
BK,06,1374,6.371179039301313,3.6627497464851326
BK,07,2027,7.5407992108913886,4.2041947791191125
BK,08,3612,6.5816722037652271,4.0789187070380182
BK,09,1140,-2.0,3.1164245278706573
BK,10,1402,-4.9643366619115552,3.7976106180206681
BK,11,5553,-2.0,2.989223751958006
BK,12,2487,-4.1958182549256131,3.0423348412455864
BK,13,1638,-5.5025641026805463,3.961298169311342
BK,14,597,-6.5820770519262979,3.3972119136434236
BK,15,443,-7.2000000000000011,4.3899239630605607
BK,16,1168,-5.6719178082191819,4.0219675874814076
BK,17,7554,-5.1268996558114939,1.7496300135997809
BK,18,994,-9.24496981891348,2.080973159368543
BK,19,6767,-9.9612826954337219,2.6087513594639207
BK,20,736,-9.9979619565217384,1.1672340882169787
BY,01,4437,0.077124182986385625,0.4372536332720664
BY,02,3397,2.9188695908434994,0.52761712622292567
BY,03,4185,4.3530704898446846,2.7472083299310817
BY,04,17066,2.7848177661541462,2.8939801573840831
BY,05,4509,4.8555112004570908,3.1562607039498434
BY,06,1067,6.26954076850984,2.3311491075028283
BY,07,2693,7.6571852953868706,1.8669540385793808
BY,08,2009,7.6545545047287211,0.60870722251413856
BY,09,528,-2.0,-0.35971413533992713
BY,10,718,-5.0,-0.2153246902931307
BY,11,2494,-2.0,-0.22863626672111198
BY,12,783,-4.1315453384418905,-0.1087031842564239
BY,13,763,-5.17719528203242,-1.9874276882510118
BY,14,277,-6.662454873646209,-2.2374573723672717
BY,15,568,-7.1999999959703942,1.8709462315223526
BY,16,945,-6.1767195767195764,-1.75347173298775
BY,17,1027,-5.3289191820837356,-1.3477343036829112
BY,18,466,-9.3916309012875541,-1.3453556745245572
BY,19,3012,-9.9613213811420991,-0.713076689165563
BY,20,61,-9.98360655737705,2.3867107908411125
CA,01,136909,0.044907201133828206,1.8313435944608762
CA,02,75289,2.9999760921429033,2.0009154107383464
CA,03,106037,4.2125786281625128,3.0523995825402022
CA,04,412483,2.6736207309631879,2.5518537463370348
CA,05,103280,4.6923828429214876,3.2662092450385245
CA,06,48185,6.3146497874741563,2.2527496736089505
CA,07,39494,7.2930647695976836,2.5208188881742588
CA,08,43710,6.5403111416151907,1.7088029291377091
CA,09,20303,-2.0,1.7114001094766227
CA,10,11579,-4.99222730805769,1.9233515007163817
CA,11,59407,-2.0,1.3111833532703709
CA,12,24663,-4.166666666666667,1.5637608412532655
CA,13,12419,-5.0745631696060762,1.1116414458466035
CA,14,6851,-6.5462706174281129,1.3458173709549439
CA,15,2852,-7.1999999995987389,2.2606861093314303
CA,16,9408,-5.366092687024139,1.810428204839162
CA,17,64206,-5.1412889760932972,0.58621221329740936
CA,18,17602,-9.3318088853539365,-0.04950925160718541
CA,19,70886,-9.95281155658381,1.065579750225798
CA,20,435,-9.9827586206896548,-0.53897767334941893
CH,01,330931,0.037966826932579446,2.2368197515350525
CH,02,165928,2.9519496408176158,2.4398338438331675
CH,03,319932,4.1992382755846753,3.1127372047222313
CH,04,1121484,2.8159252382873787,3.3466186880116844
CH,05,319204,4.9173343694152054,3.7165495699897115
CH,06,140481,6.3611264158680285,2.1442598637011088
CH,07,68458,7.30966870226068,2.6843983199171806
CH,08,68344,6.4818711225564787,1.8816125926732368
CH,09,38716,-2.0,1.4760242376982591
CH,10,32552,-4.9778815433767507,2.1787803988035455
CH,11,170463,-2.0,1.4592318718051684
CH,12,64407,-4.2654059341375934,1.9137046666527417
CH,13,36203,-4.9238847612159056,1.0576811264456505
CH,14,21427,-6.5551640453633269,1.563619117593787
CH,15,11381,-7.1999999989106582,0.99050205898850485
CH,16,29528,-5.5735708480022108,1.8929705747926857
CH,17,87485,-5.2784660227249551,0.68873188335303792
CH,18,17082,-9.3256644421027985,0.24780348787100823
CH,19,80901,-9.9423183891422848,0.66346171316535718
CH,20,1019,-9.976447497546614,0.89419699698969113
CY,01,16578,0.043823139112596006,3.1382898173174487
CY,02,8901,2.9683181664981468,3.2527863880471859
CY,03,18823,4.1250225786688315,3.5024904707270665
CY,04,63720,3.1053217199772125,3.2799231346944997
CY,05,18654,5.0655301813170777,4.2449445896856233
CY,06,3457,6.3503615854653406,2.4790895257932246
CY,07,4374,7.3448102424501247,3.0018548823569775
CY,08,3559,6.5439730261309359,2.5718148633539575
CY,09,1960,-2.0,2.2965099857645819
CY,10,2150,-4.93953488372093,3.1897487483687352
CY,11,5777,-2.0,2.807940554288443
CY,12,5584,-4.1561604584527219,3.9425563873842737
CY,13,1760,-5.0272727273269142,2.8508722620177469
CY,14,828,-6.6388888888888893,2.1702505000819188
CY,15,613,-7.1999999993777015,2.772839946755989
CY,16,1954,-5.7853633572159708,2.4698825359013497
CY,17,3387,-5.3097136108650762,1.0674053747890313
CY,18,687,-9.3427947598253276,1.1605422550980897
CY,19,3990,-9.9456140350877185,1.8097540367777349
CY,20,72,-9.9930555555555554,3.702981692605249
FR,01,210797,0.08497843897448118,1.7866099046741584
FR,02,113517,2.9754353973519749,2.0001753485444707
FR,03,188965,4.1905559229980058,2.5890366917879568
FR,04,690534,2.8281170803551507,2.5813089600868704
FR,05,176953,4.8167999413636648,2.824145639732313
FR,06,41230,6.31653650269936,2.1666837913801955
FR,07,49854,7.34048822587133,2.247029053874841
FR,08,60782,6.8416307459445234,1.9071566547975671
FR,09,26296,-2.0,1.0768358718365663
FR,10,21100,-4.9755912602493009,1.8883762083675486
FR,11,106675,-2.0,1.0849412978274919
FR,12,43770,-4.2209932125145695,2.0183789476326943
FR,13,25660,-5.3252533128831949,0.6089772444005237
FR,14,15167,-6.60476692819938,1.6317608343308148
FR,15,6770,-7.1999999994083579,1.1743683441065114
FR,16,18239,-5.2587093590239071,1.5291304430744426
FR,17,74222,-5.2162808870531023,0.82279884069867337
FR,18,30072,-9.2834197924980053,0.78712981631797585
FR,19,110537,-9.9702000235215351,0.26477290948828819
FR,20,1640,-9.989634146341464,-1.9346906895164002
IR,01,272631,0.00673070928490067,2.1017170519597839
IR,02,130697,2.9397231765128753,2.4588611923997967
IR,03,207125,4.2017979480391121,2.167472853057081
IR,04,687914,3.0645634482958992,2.4930371870018173
IR,05,236828,4.5389400748278579,2.3987033192894907
IR,06,53822,6.3266879717308386,1.9876641522393095
IR,07,37388,7.4025382479792912,1.7975884569504061
IR,08,69351,6.6188519271531776,1.3373269876590277
IR,09,23866,-2.0,1.5627405481971246
IR,10,32360,-4.9605873261205566,2.1667564233441721
IR,11,173865,-2.0,1.434315161118159
IR,12,64003,-4.2113265928021129,1.7780735962014236
