ActorGeo_CountryCode,MonthYear,EventRootCode,EventCount,AvgGoldScore,AvgTone
ER,198804,05,1,3.4,4.71584038694075
ER,198901,04,7,3.3571428571428572,3.1772426693163771
ER,198901,11,3,-2.0,5.3576776622598734
ER,198902,04,5,3.4,7.6595744680851094
ER,198902,19,1,-10.0,0.0
ER,198903,01,3,0.40000000000000008,4.3902648393026169
ER,198903,02,1,3.2,5.84415584415584
ER,198903,03,1,4.0,9.47368421052632
ER,198903,05,1,3.5,9.47368421052632
ER,198904,02,1,3.0,3.67647058823529
ER,198904,04,1,1.9,5.05050505050505
ER,198904,13,1,-4.4,5.63380281690141
ER,198904,19,1,-10.0,3.75
ER,198905,01,3,0.0,2.93637846655791
ER,198905,03,1,4.0,10.9803921568627
ER,198905,16,2,-7.0,2.01729106628242
ER,198905,17,3,-5.0,5.5900621118012408
ER,198905,19,1,-10.0,2.93637846655791
ER,198906,04,5,5.1400000000000006,6.353231806556618
ER,198907,01,1,0.0,4.47019867549669
ER,198907,03,1,5.0,1.95121951219512
ER,198907,07,1,7.0,5.75757575757576
ER,198907,11,1,-2.0,1.95121951219512
ER,198907,19,1,-10.0,0.8
ER,198908,03,1,4.0,1.70454545454545
ER,198908,04,5,5.8,8.8563703047396451
ER,198908,05,1,3.5,4.97131931166348
ER,198908,08,1,5.0,7.9646017699115
ER,198908,19,1,-10.0,2.54237288135593
ER,198909,01,1,0.0,7.45967741935484
ER,198909,03,1,4.0,7.03125
ER,198909,04,11,5.9090909090909092,7.3742018198043731
ER,198909,05,2,3.4,9.54234940046816
ER,198909,08,1,10.0,2.38095238095238
ER,198910,02,1,3.0,4.80769230769231
ER,198910,04,2,2.8,7.09474629546475
ER,198910,16,1,-8.0,0.0
ER,198911,01,1,0.0,8.34492350486787
ER,198911,02,2,3.0,5.3814301640388607
ER,198911,04,8,5.25,2.9991946557234939
ER,198912,03,1,4.0,3.78657487091222
ER,198912,12,2,-4.0,0.840336134453782
ER,198912,17,2,-5.0,5.9645334912659749
ER,199001,01,4,-0.30000000000000004,2.1873887108262076
ER,199001,04,1,1.0,4.11392405063291
ER,199001,07,1,7.4,7.34265734265734
ER,199002,01,1,0.0,5.17897943640518
ER,199002,03,4,4.8999999999999995,1.9282244473084171
ER,199002,04,6,4.6000000000000005,4.46023433006986
ER,199002,07,1,7.4,5.17897943640518
ER,199002,10,2,-5.0,5.60245289243368
ER,199002,11,2,-2.0,4.2859907120743
ER,199003,19,2,-10.0,3.3631671425433751
ER,199004,01,1,0.4,2.9585798816568
ER,199004,03,1,4.0,8.65800865800866
ER,199004,04,4,2.3499999999999996,4.1337830044577473
ER,199004,06,1,6.0,1.29032258064516
ER,199004,12,2,-4.0,1.29032258064516
ER,199004,19,1,-10.0,1.38888888888889
ER,199005,01,2,0.0,1.04166666666667
ER,199005,03,1,5.2,8.47723704866562
