ActorCountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
BDI,01,18866,-0.045674758823109653,-0.28432476469846857
BDI,02,10159,2.8420021656425769,-0.044052006363263931
BDI,03,10531,4.281977020171662,2.584361047405686
BDI,04,46317,2.763587883312665,2.1818561577472426
BDI,05,12567,5.3484204665662327,2.8869084988842184
BDI,06,2844,6.34345991571241,1.3600514029128736
BDI,07,5647,7.703240658841306,1.8162133694586915
BDI,08,10033,6.5677265025416123,-1.3512693866614451
BDI,09,1821,-2.0,-1.940752871693769
BDI,10,3219,-4.94408201304753,0.042911467628918044
BDI,11,10395,-2.0,-1.5519348198520087
BDI,12,4061,-4.1997045062792413,-0.48483267192776186
BDI,13,2349,-5.4887186039453244,-2.0464011167857783
BDI,14,2317,-6.638109624514458,-3.7536361534233831
BDI,15,1132,-7.1999999994945192,1.6019144534329457
BDI,16,2003,-5.9046430354468376,-0.72321580126483231
BDI,17,5928,-5.5190620782082567,-1.6594490807096736
BDI,18,3791,-9.43656027433395,-1.3891486590012849
BDI,19,15116,-9.9695025138925644,-1.5099275599255875
BDI,20,315,-9.9841269841269842,2.4285057578946829
BEL,01,138469,0.035531418583879565,1.046218530636202
BEL,02,68480,3.0081176986137987,1.6686152967572214
BEL,03,107483,4.1667780020742651,2.4015761873439
BEL,04,349418,2.7892278015863146,2.04778500965544
BEL,05,84598,4.5726896618361952,2.7665883604652861
BEL,06,21390,6.2789527818029711,1.5901079273976064
BEL,07,30064,7.2989289518015523,2.3522455929017725
BEL,08,31681,6.330545121681765,0.88492200840649549
BEL,09,18613,-2.0,-0.52318749208501236
BEL,10,12496,-4.98319462227913,0.90767642901428169
BEL,11,54206,-2.0,0.16694995234356524
BEL,12,23525,-4.2058335813597516,1.1479659535837918
BEL,13,17861,-5.3298247580605347,-0.83148138570911567
BEL,14,6331,-6.5555994313694521,1.17566735345868
BEL,15,4344,-7.199999999648738,-0.93364379221228333
BEL,16,12744,-5.6088826114249812,0.90303822234473308
BEL,17,49445,-5.1866194761663751,-1.8797158535233036
BEL,18,12472,-9.4484044259140472,-2.9424909404661186
BEL,19,59079,-9.96602853805921,-2.5380481516354179
BEL,20,326,-9.9969325153374236,-2.6514414810425313
CAN,01,978099,0.011902987328221678,1.9324825291991836
CAN,02,539294,3.0089149888893458,2.3518410180007394
CAN,03,419498,4.26858364033278,2.8912500208931684
CAN,04,1275142,2.5757010590973621,2.3688582072870368
CAN,05,460019,4.1661135738204864,3.1714632658802264
CAN,06,162817,6.2611398074164519,2.1512865158614627
CAN,07,263055,7.305909030744365,2.9150287901925318
CAN,08,217606,6.4238623935001788,1.8660923004592873
CAN,09,131904,-2.0,1.1370130042711453
CAN,10,48781,-4.9949770378874856,1.5040772724478888
CAN,11,300483,-2.0,1.2255058903024407
CAN,12,140599,-4.1834412120349951,1.3960885024065413
