ActorGeo_CountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
AC,01,9,0.088888888888888892,4.1130716449103524
AC,02,7,3.2285714285714282,4.3286282838271912
AC,03,13,4.0,5.9003459538056076
AC,04,37,2.6864864864864861,4.23994503182617
AC,05,21,6.9714285714285715,3.4934538335355527
AC,06,5,6.08,5.495862550799778
AC,07,6,7.1333333333333329,2.1828066058434197
AC,08,4,6.5,-0.76568440751830025
AC,09,4,-2.0,3.335526315789477
AC,11,5,-2.0,2.5064876526142177
AC,13,1,-4.4,3.77358490566038
AC,14,1,-6.5,4.52961672473868
AC,16,1,-4.0,4.10958904109589
AC,17,4,-5.0,4.9841369277409351
AC,18,8,-9.0,-6.7170817105881175
AC,19,2,-10.0,5.203247249838225
AJ,01,704,-0.047585227272727265,2.8260649360647658
AJ,02,447,2.9478747203579418,2.7455953724754019
AJ,03,950,4.1749473684210514,2.4439225669834395
AJ,04,2621,2.7736360167511003,2.4316172836623906
AJ,05,972,5.4833333335295622,3.7127881128379889
AJ,06,240,6.4000000011920939,2.3760842284278789
AJ,07,159,7.3905660377358489,3.0660584904815149
AJ,08,129,6.7131782945736438,2.3849144422675908
AJ,09,76,-2.0,0.84142433210185652
AJ,10,64,-5.0,1.9078378820706197
AJ,11,280,-2.0,1.8194295655439812
AJ,12,160,-4.2375,3.0935788758981251
AJ,13,67,-4.6716417910447774,2.0436479701945229
AJ,14,25,-6.54,2.5560979091196163
AJ,15,34,-7.1999999999999984,3.4552930017415941
AJ,16,56,-6.121428571428571,1.8151953675074091
AJ,17,126,-5.2444444444444445,0.77165778376210237
AJ,18,41,-9.3902439024390247,1.4952202121221161
AJ,19,191,-9.93979057591623,1.1784958204028042
AJ,20,25,-10.0,3.7096062956580766
AM,01,823,0.0157958687727825,1.8719243961287764
AM,02,328,2.8649390243902437,2.2703442109272252
AM,03,626,4.29073482428115,2.3508661484143905
AM,04,1756,2.8073462414578594,2.6558012284509931
AM,05,859,5.181024447253475,2.4504405399764306
AM,06,152,6.3960526315789448,1.6613321780481485
AM,07,139,7.3992805755395681,2.700150911721785
AM,08,145,6.9172413793103447,2.2784905124844319
AM,09,64,-2.0,1.3627897380825502
AM,10,79,-5.0,2.6937857309514053
AM,11,340,-2.0,0.75425572843258326
AM,12,148,-4.0945945945945947,1.5232364860891419
AM,13,103,-4.9864077688420858,1.9380475593064561
AM,14,44,-6.5227272727272725,2.9038665545152273
AM,15,36,-7.1999999999999993,3.2334705452202797
AM,16,77,-5.7402597402597406,0.66585931902219708
AM,17,159,-5.0654088050314474,2.0135495607508793
AM,18,61,-9.6475409836065573,2.6033527017669087
AM,19,352,-9.984375,1.2177877819845406
AM,20,33,-10.0,-0.1396266439186763
BH,01,24,-0.05000000000000001,5.3310384147434711
BH,02,18,2.9833333333333334,5.712383669884102
BH,03,48,4.0249999999999995,4.9225209119013211
BH,04,146,3.01986301369863,3.4331869433457154
BH,05,23,5.6043478260869568,5.7531453853694021
BH,06,6,6.4333333333333336,3.6840381847326462
BH,07,3,7.0,6.1172065482410334
BH,08,6,6.833333333333333,3.9554419128163443
BH,09,3,-2.0,3.38359928556007
BH,10,5,-3.0,2.5660692368588203
BH,11,10,-2.0,5.0924708515983994
BH,12,17,-4.0588235294117645,5.8927421795849835
BH,13,2,-4.4,2.75423728813559
BH,16,12,-4.25,1.32768682674404
BH,17,4,-5.0,4.98660531418291
BH,18,3,-9.3333333333333339,1.2572920309313733
BH,19,8,-10.0,3.3195683756576075
BK,01,2400,-0.024541666666666673,4.9700631529206953
BK,02,1384,2.969869942196532,5.0967354145830122
BK,03,1824,4.31798245614035,5.26238496267652
BK,04,5221,3.0563110515226963,4.9854404207454284
BK,05,1117,4.4530886302596242,5.6915376608946877
BK,06,205,6.29560975609756,4.8886038139892358
BK,07,544,7.6970588235294111,5.2732441223644591
BK,08,944,7.2849576271186445,4.725326890256909
BK,09,325,-2.0,4.6036710283518918
BK,10,290,-5.0,5.0107060766122142
BK,11,1018,-2.0,4.5834539131205547
BK,12,523,-4.179732313575526,4.9006957036176084
BK,13,682,-6.1260997067448679,4.6695171823019361
BK,14,105,-6.5857142857142854,4.9551245821218579
BK,15,226,-7.2000000000000011,4.6276222284265343
