ActorGeo_CountryCode,MonthYear,EventRootCode,EventCount,AvgGoldScore,AvgTone
ER,199301,01,1,-0.4,6.42201834862385
ER,199301,03,1,4.0,3.03030303030303
ER,199301,04,17,3.0117647058823529,4.12051149790626
ER,199301,05,4,3.475,4.786142057873132
ER,199301,06,1,6.0,7.03517587939699
ER,199301,17,1,-5.0,2.4390243902439
ER,199302,02,2,3.2,5.06629403353698
ER,199302,04,3,1.5999999999999999,3.62167795726941
ER,199302,06,1,6.0,4.08163265306122
ER,199303,04,3,1.0,0.0
ER,199304,01,1,0.0,4.89864864864865
ER,199304,03,2,5.5,2.7707808564231748
ER,199304,04,4,2.3499999999999996,2.7424732347298697
ER,199304,17,1,-5.0,4.19354838709677
ER,199305,01,6,0.13333333333333333,7.55714054890139
ER,199305,02,2,3.0,9.01563937442502
ER,199305,03,1,5.2,5.54785020804438
ER,199305,04,8,2.4625,5.03112321290371
ER,199305,05,6,5.1333333333333337,6.8127871438713017
ER,199305,07,1,7.0,3.97350993377483
ER,199305,10,1,-5.0,12.8571428571429
ER,199306,01,1,0.0,3.54706684856753
ER,199306,02,1,3.0,3.33333333333333
ER,199306,03,2,4.0,8.0769230769230642
ER,199306,04,4,2.3499999999999996,3.7364872272303877
ER,199306,05,4,5.25,7.3396297443183478
ER,199306,10,1,-5.0,6.82926829268293
ER,199307,01,2,0.0,4.88372093023256
ER,199307,03,1,4.0,5.90200445434298
ER,199307,04,11,3.7545454545454544,3.7906851105698536
ER,199307,05,5,6.0,7.5666666666666682
ER,199307,12,3,-4.0,2.6136315499639933
ER,199307,19,1,-10.0,1.31578947368421
ER,199308,02,1,3.0,2.52525252525253
ER,199308,03,1,4.0,12.9032258064516
ER,199308,05,1,8.0,3.92156862745098
ER,199309,01,3,0.0,5.36585365853659
ER,199309,08,1,5.0,4.02298850574713
ER,199310,02,2,3.0,7.35566665259404
ER,199310,03,2,4.5,11.566443949517431
ER,199310,04,4,1.45,7.6738378793699553
ER,199310,05,4,5.35,12.394802417198822
ER,199310,11,3,-2.0,5.2844231791600205
ER,199311,01,2,0.2,4.65120663650075
ER,199311,02,1,3.0,6.09756097560976
ER,199311,03,4,4.0,6.85714285714286
ER,199311,04,16,2.3187499999999996,4.9604009833273714
ER,199311,05,2,3.4,2.24358974358974
ER,199311,08,1,7.0,7.05882352941176
ER,199311,14,1,-6.5,8.88888888888889
ER,199312,03,1,4.0,9.375
ER,199312,05,1,6.0,9.375
ER,199401,01,1,-0.4,3.35917312661499
ER,199401,03,3,4.0,11.393939393939393
ER,199401,04,14,1.7714285714285718,4.8601472377550854
ER,199401,05,2,8.0,14.66666666666665
ER,199401,08,2,5.0,2.90697674418605
ER,199402,01,1,0.0,9.63455149501661
ER,199402,02,2,3.0,4.36893203883495
ER,199402,03,2,4.0,1.23456790123457
ER,199402,04,2,4.75,5.5906439008724504
ER,199402,13,1,-4.4,9.63455149501661
ER,199403,04,7,4.8142857142857149,8.9542313622644851
ER,199403,06,1,6.4,4.21052631578947
ER,199404,04,3,5.3,1.8752744839701367
ER,199404,07,1,7.0,1.44927536231884
ER,199405,03,4,4.6,3.5950971615984093
ER,199405,04,7,4.0857142857142863,3.619419831818953
ER,199405,05,1,8.0,2.04778156996587
ER,199405,11,6,-2.0,5.59646539027982
ER,199407,07,1,7.4,3.6144578313253
ER,199408,04,6,2.1999999999999997,6.6150861560605421
ER,199409,02,1,4.0,3.87243735763098
ER,199409,04,3,2.1999999999999997,3.4886146503458604
ER,199411,04,10,2.1700000000000004,4.5014422258215792
ER,199412,03,1,4.0,14.4230769230769
ER,199412,04,4,1.45,6.4848816876773423
