ActorCountryCode,MonthYear,EventRootCode,EventCount,AvgGoldScore,AvgTone
ERI,198012,02,1,3.0,5.74162679425837
ERI,198901,01,4,-0.025,8.0449341842373947
ERI,198901,02,6,3.3333333333333335,7.4524504678573011
ERI,198901,03,2,4.0,5.26315789473684
ERI,198901,04,8,2.725,5.9797756191220905
ERI,198901,05,3,3.4,5.823882836724426
ERI,198901,06,2,6.0,7.3394495412844
ERI,198901,09,5,-2.0,2.9241112543746559
ERI,198901,11,6,-2.0,6.199649850443504
ERI,198901,12,3,-4.0,4.16666666666667
ERI,198901,19,1,-10.0,5.26315789473684
ERI,198902,01,3,0.0,4.1501976284585
ERI,198902,04,4,4.45,6.47846120661883
ERI,198902,05,7,3.4,9.1784862435994388
ERI,198902,10,1,-5.0,8.06451612903226
ERI,198902,19,6,-9.75,4.0084286475046769
ERI,198903,01,1,0.4,4.91803278688525
ERI,198903,02,4,3.05,4.7296361519527794
ERI,198903,03,2,4.0,9.47368421052632
ERI,198903,04,10,3.3199999999999994,4.2519438325792107
ERI,198903,05,3,3.5,5.46397440141234
ERI,198903,08,3,6.666666666666667,1.1530398322851168
ERI,198903,17,2,-5.0,1.66666666666667
ERI,198904,02,1,3.0,3.67647058823529
ERI,198904,04,10,5.96,5.2145665589013621
ERI,198904,05,5,3.4,6.39269406392694
ERI,198904,12,7,-4.2857142857142856,4.4533227932614734
ERI,198904,15,1,-7.2,7.6103500761035
ERI,198904,16,5,-4.0,3.72661332535706
ERI,198904,17,1,-5.0,4.8780487804878
ERI,198904,18,1,-8.0,5.63380281690141
ERI,198904,19,1,-10.0,3.75
ERI,198905,01,6,0.0,4.47838520786425
ERI,198905,02,2,4.0,9.05587668593449
ERI,198905,03,4,4.0,5.92105263157895
ERI,198905,04,14,3.6999999999999997,4.71817507828152
ERI,198905,05,2,3.4,4.2608163464012749
ERI,198905,06,1,7.4,3.99201596806387
ERI,198905,11,3,-2.0,7.4730753346496464
ERI,198905,12,1,-4.0,2.93637846655791
ERI,198905,15,2,-7.2,5.59006211180124
ERI,198905,16,2,-4.0,2.14424951267056
ERI,198905,17,1,-5.0,4.19112993525145
ERI,198905,19,24,-9.9583333333333339,4.1726592413224237
ERI,198906,01,5,-0.24000000000000005,7.1566445406315635
ERI,198906,02,3,3.3333333333333335,9.08162317763955
ERI,198906,03,8,4.0,5.4904580663926463
ERI,198906,04,26,5.3269230769230766,6.2952258351675123
ERI,198906,05,11,3.4454545454545458,6.356273428418314
ERI,198906,07,3,7.8666666666666671,8.3645069579530169
ERI,198906,08,1,5.0,1.92307692307692
ERI,198906,09,1,-2.0,6.15932110594032
ERI,198906,10,1,-5.0,8.85416666666667
ERI,198906,12,3,-5.0,5.47520661157025
ERI,198906,17,3,-5.0,1.8604651162790702
ERI,198907,04,6,3.9,5.8688311757717129
